date,effluent_bod5,anomaly_score,anomaly_percentile,risk_band
D-13/3/90,152.0,0.6632161459744907,100.0,CRITICAL
D-29/4/90,44.0,0.6148248949248745,99.8015873015873,CRITICAL
D-17/7/91,105.0,0.6034338191878243,99.60317460317461,CRITICAL
D-12/8/90,3.0,0.5872253555977301,99.40476190476191,HIGH
D-19/7/91,101.0,0.5829513975020624,99.20634920634922,HIGH
D-15/3/90,84.0,0.5733466031148381,99.0079365079365,HIGH
D-28/5/91,18.0,0.5566123943333522,98.80952380952381,ELEVATED
D-18/7/91,101.0,0.5528375044304891,98.61111111111111,ELEVATED
D-29/1/91,18.0,0.5485775917926813,98.4126984126984,ELEVATED
D-31/1/91,24.0,0.5426694933140271,98.21428571428571,ELEVATED
D-11/6/90,28.0,0.5408735585866381,98.01587301587301,ELEVATED
D-5/6/90,19.0,0.5383612837020963,97.81746031746032,ELEVATED
D-3/10/90,21.0,0.5373344726922326,97.61904761904762,ELEVATED
D-10/8/90,21.0,0.5361281214060798,97.42063492063492,ELEVATED
D-22/10/90,7.0,0.525700877601167,97.22222222222221,ELEVATED
D-14/3/90,320.0,0.5238922805511179,97.02380952380952,ELEVATED
D-24/5/91,16.0,0.5231093538926335,96.82539682539682,LOW
D-16/1/91,22.0,0.5135186667531824,96.62698412698413,LOW
D-14/9/90,12.0,0.503938326950569,96.42857142857143,LOW
D-8/6/90,39.0,0.5034925554940389,96.23015873015873,LOW
D-16/9/90,11.0,0.502175751753764,96.03174603174604,LOW
D-25/7/90,16.0,0.5020065500868204,95.83333333333334,LOW
D-2/12/90,17.0,0.5014844529369706,95.63492063492063,LOW
D-15/11/90,26.0,0.5008467325577569,95.43650793650794,LOW
D-10/12/90,14.0,0.49635992962862124,95.23809523809523,LOW
D-20/8/90,19.0,0.4951719413807927,95.03968253968253,LOW
D-7/5/90,20.0,0.493152456318431,94.84126984126983,LOW
D-16/3/90,32.0,0.49073545898311494,94.64285714285714,LOW
D-11/8/91,11.0,0.4827840654369218,94.44444444444444,LOW
D-13/8/90,7.0,0.4808567409680891,94.24603174603175,LOW
D-7/2/91,21.0,0.4804102706277183,94.04761904761905,LOW
D-27/4/90,39.0,0.48031446511560216,93.84920634920636,LOW
D-5/9/90,18.0,0.4758268868206751,93.65079365079364,LOW
D-25/8/91,25.0,0.4748258489650822,93.45238095238095,LOW
D-6/8/90,11.0,0.47308833713790577,93.25396825396825,LOW
